experiment_tag,w1_ful_cls,w2_ful_cls,w3_ful_cls,w4_ful_cls,w5_ful_cls,w6_ful_cls,w7_ful_cls,w8_ful_cls,w9_ful_cls,w10_ful_cls,w11_ful_cls,w12_ful_cls
40ARS,0,0,0,0,0,0,0,0,0,0,0,0
40DDD,0,1,1,0,1,0,0,0,0,0,0,0
41ACT,0,0,0,0,0,0,0,0,1,1,1,1
41EEE,1,1,0,0,0,0,0,0,0,0,0,0
42AMU,1,1,0,0,0,0,0,0,0,0,0,0
42FFF,0,0,0,0,0,0,0,0,0,0,0,0
43AGS,0,0,0,0,0,0,0,0,0,0,0,0
43GGG,0,0,0,0,0,0,0,0,0,0,0,0
44ANI,0,1,1,1,1,1,1,1,1,1,1,1
44HHH,1,1,1,1,1,1,1,1,1,1,1,1
45ANE,0,0,0,0,0,0,0,0,0,0,0,0
45III,0,0,0,0,0,0,0,0,0,0,0,0
46ANT,1,1,1,1,1,1,0,1,1,1,1,1
46JJJ,1,1,0,0,0,0,0,0,0,0,0,0
47AGA,1,1,1,1,1,1,1,1,1,1,1,1
47ZZZ,1,1,0,0,0,0,0,0,0,0,0,0
48AIL,0,0,0,0,0,0,0,0,0,0,0,0
48LLL,1,0,0,1,1,1,1,1,1,1,1,1
49AFF,0,1,1,0,1,0,0,1,0,0,1,1
49MMM,1,1,1,0,1,1,1,1,1,1,1,1
50ALA,0,0,0,0,0,0,0,0,0,0,0,0
50NNN,1,1,0,0,0,0,0,0,0,0,1,1
51AHA,1,1,1,1,1,1,1,1,1,1,1,1
51OOO,0,0,0,0,0,0,1,0,0,1,1,1
52AGE,0,0,0,0,0,0,0,0,0,0,0,0
52PPP,1,1,1,1,1,1,1,1,1,1,1,1
53AIT,0,0,0,0,0,0,0,0,0,0,0,0
53QQQ,0,0,1,1,1,1,1,1,1,1,1,1
54AAL,0,1,0,0,0,0,1,1,1,1,1,1
54RRR,1,0,1,1,1,0,0,1,0,1,1,1
55AID,0,0,0,0,0,0,0,0,0,0,0,0
55SSS,1,1,1,1,1,1,0,0,0,0,0,0
56ARM,1,1,1,1,1,1,1,1,1,1,1,0
56TTT,1,1,1,1,1,1,1,1,1,1,1,1
57APT,1,0,0,1,1,1,1,1,1,1,1,1
57UUU,0,0,0,1,1,1,1,1,1,1,1,1
58AHI,0,1,1,1,1,1,1,1,1,1,1,1
58VVV,1,1,1,1,1,1,1,1,1,1,1,1
59ART,1,1,1,1,0,0,1,1,1,1,1,1
59WWW,1,0,0,0,0,0,0,0,0,0,0,0
60ADS,1,0,0,0,0,0,0,0,0,0,0,0
60XXX,1,1,1,0,1,1,1,1,1,1,1,1
61ABO,0,0,0,0,0,0,0,0,0,0,0,0
61YYY,0,0,1,1,1,0,1,1,1,1,1,1
62ARK,1,1,1,1,1,0,1,1,0,0,1,1
62ZZZ,0,0,0,0,1,0,0,0,0,1,1,0
63AAA,1,1,0,0,0,0,0,0,0,0,0,0
63AIR,1,1,1,0,0,0,0,0,0,0,0,0
64ARB,0,1,1,1,0,0,0,1,1,0,1,1
64BBB,0,0,1,0,1,0,1,1,1,1,1,1
65AFT,0,1,1,0,1,1,1,1,1,1,1,1
65CCC,0,0,0,0,0,0,0,0,0,0,0,0
